Task ID, Task Name,Task Content,Status,Date Created,Date Created Text,Due Date,Due Date Text,Start Date,Start Date Text,Parent ID,Attachments,Assignees,Tags,Priority,List Name,Folder Name/Path,Space Name,Time Estimated,Time Estimated Text,Checklists,Comments,Assigned Comments,Time Spent,Time Spent Text,Rolled Up Time,Rolled Up Time Text
8692tucue,"Skoltech-table5-HfHD","",Closed,1695729307340,"9/26/2023, 4:55:07 PM GMT+5",,"",,"",null,"[]","[]","[]",3,"Skoltech","[""Russia kiosks""]","Terminals","","","{}","[]","0", "",,NaN,
8692tucwe,"Skoltech-table1-HfHD","",Closed,1695729324653,"9/26/2023, 4:55:24 PM GMT+5",,"",,"",null,"[]","[]","[]",3,"Skoltech","[""Russia kiosks""]","Terminals","","","{}","[]","0", "",,NaN,
8692tud0d,"skoltech-G11-V-fHD","",Closed,1695729358779,"9/26/2023, 4:55:58 PM GMT+5",,"",,"",null,"[]","[]","[]",3,"Skoltech","[""Russia kiosks""]","Terminals","","","{}","[]","0", "",,NaN,
8692tud2d,"skoltech-G6-V-fHD","",Closed,1695729371933,"9/26/2023, 4:56:11 PM GMT+5",,"",,"",null,"[]","[]","[]",3,"Skoltech","[""Russia kiosks""]","Terminals","","","{}","[]","0", "",,NaN,
8692tud0w,"skoltech-G8-V-fHD","",Closed,1695729364723,"9/26/2023, 4:56:04 PM GMT+5",,"",,"",null,"[]","[]","[]",3,"Skoltech","[""Russia kiosks""]","Terminals","","","{}","[]","0", "",,NaN,
8692tucv4,"Skoltech-G4-V4K","",Closed,1695729311999,"9/26/2023, 4:55:11 PM GMT+5",,"",,"",null,"[]","[]","[]",3,"Skoltech","[""Russia kiosks""]","Terminals","","","{}","[]","0", "",,NaN,
8692tucx5,"Skoltech-table2-HfHD","",Closed,1695729330539,"9/26/2023, 4:55:30 PM GMT+5",,"",,"",null,"[]","[]","[]",3,"Skoltech","[""Russia kiosks""]","Terminals","","","{}","[]","0", "",,NaN,
8692tucy4,"Skoltech-table3-HfHD","",Closed,1695729337245,"9/26/2023, 4:55:37 PM GMT+5",,"",,"",null,"[]","[]","[]",3,"Skoltech","[""Russia kiosks""]","Terminals","","","{}","[]","0", "",,NaN,
8692tucyx,"Skoltech-table4-HfHD","",Closed,1695729343855,"9/26/2023, 4:55:43 PM GMT+5",,"",,"",null,"[]","[]","[]",3,"Skoltech","[""Russia kiosks""]","Terminals","","","{}","[]","0", "",,NaN,
869363t34,"skoltech-G5-1-V-fHD","",Closed,1700581060158,"11/21/2023, 8:37:40 PM GMT+5",,"",,"",null,"[]","[]","[]",3,"Skoltech","[""Russia kiosks""]","Terminals","","","{}","[]","0", "",,NaN,
869363ukj,"skoltech-G5-2-V-fHD","",Closed,1700581178359,"11/21/2023, 8:39:38 PM GMT+5",,"",,"",null,"[]","[]","[]",3,"Skoltech","[""Russia kiosks""]","Terminals","","","{}","[]","0", "",,NaN,
8692rretq,"msk_adg_budapesht H-FHD","",Closed,1695190964783,"9/20/2023, 11:22:44 AM GMT+5",,"",,"",null,"[]","[]","[]",3,"ADG","[""Russia kiosks""]","Terminals","","","{}","[]","0", "",,NaN,
8692rretu,"msk_adg_neva H-FHD","",Closed,1695190966568,"9/20/2023, 11:22:46 AM GMT+5",,"",,"",null,"[]","[]","[]",3,"ADG","[""Russia kiosks""]","Terminals","","","{}","[]","0", "",,NaN,
