Task ID, Task Name,Task Content,Status,Date Created,Date Created Text,Due Date,Due Date Text,Start Date,Start Date Text,Parent ID,Attachments,Assignees,Tags,Priority,List Name,Folder Name/Path,Space Name,Time Estimated,Time Estimated Text,Checklists,Comments,Assigned Comments,Time Spent,Time Spent Text,Rolled Up Time,Rolled Up Time Text
85zruf1jh,"Подготовить предложения по продаже на основании презентации системы управления мероприятиями","",Closed,1680073627404,"3/29/2023, 12:07:07 PM GMT+5",,"",,"",null,"[]","[]","[]",null,"General Sales tasks","","Sales","","","{}","[{""text"":""Общалась на NATMALL c представителями РАППА ЭКСПО осенью 2023-го года им интересно\n"",""by"":""maya.goman@tango.vision"",""assigned"":false,""date"":""4/17/2023, 5:16:15 PM GMT+5"",""resolved"":""N/A""},{""text"":""@Maxim Tokarevskikh выше табличка это стоимость приложения?\n"",""by"":""maya.goman@tango.vision"",""assigned"":false,""date"":""4/6/2023, 5:06:47 PM GMT+5"",""resolved"":""N/A""},{""text"":""какие продукты мы уже делали, что бы я скачала приложения и сделала скрин шоты? Арена формум 6.0 ?\n"",""by"":""maya.goman@tango.vision"",""assigned"":false,""date"":""4/6/2023, 5:01:02 PM GMT+5"",""resolved"":""N/A""},{""text"":""@Maya Goman актуализируй статус задачи плз\n"",""by"":""79122255855a@gmail.com"",""assigned"":false,""date"":""4/6/2023, 11:56:16 AM GMT+5"",""resolved"":""N/A""},{""text"":""@Pavel Shershniov @Maxim Tokarevskikh для этого мне нужны документы на уже заключенные сделки, на основе которых можно сформулировать хоть какое-то предложение. Либо наработки компании в этом вопросе.\n"",""by"":""maya.goman@tango.vision"",""assigned"":false,""date"":""3/29/2023, 2:17:34 PM GMT+5"",""resolved"":""N/A""}]","0", "",,NaN,
85zruf1t6,"Оформить результат обработки воронки по итогам Саммита","по Natmall 22 (сентябрь)",Closed,1680073738894,"3/29/2023, 12:08:58 PM GMT+5",1680649200000,"4/5/2023, 4:00:00 AM GMT+5",,"",861mhxg34,"[{""title"":""favorites.pdf"",""url"":""https://t4602024.p.clickup-attachments.com/t4602024/9067b5c7-a884-405e-83f7-3b18001a4f09/favorites.pdf""}]","[]","[]",null,"General Sales tasks","","Sales","","","{}","[{""text"":""favorites.pdf\nинтересующие компании на этой выставке NATMALL\n"",""by"":""maya.goman@tango.vision"",""assigned"":false,""date"":""4/5/2023, 1:19:16 AM GMT+5"",""resolved"":""N/A""},{""text"":""\nundefined\n"",""by"":""maya.goman@tango.vision"",""assigned"":false,""date"":""4/5/2023, 12:13:03 AM GMT+5"",""resolved"":""N/A""},{""text"":""https://natmall.ru/exhibitor-directory?utm_source=dasha&utm_medium=email&utm_campaign=visit2022  пришел каталог участников на апрельский натмолл 2023\n"",""by"":""maya.goman@tango.vision"",""assigned"":false,""date"":""3/29/2023, 2:25:49 PM GMT+5"",""resolved"":""N/A""}]","0", "216341",4 m,216341,4 m
861mhxg39,"Сообщить команде о порядке подготовки вопросов повестки.","Формирование до 24.00 накануне\nОзнакомление перед планеркой с 09 до 10 МСК",Closed,1679476614118,"3/22/2023, 2:16:54 PM GMT+5",1680159600000,"3/30/2023, 12:00:00 PM GMT+5",,"",861mhxg34,"[]","[Denis Kuznetcov]","[]",null,"General Sales tasks","","Sales","","","{}","[]","0", "",,NaN,
2a71p51,"Отформатировать список полей в карточке клиента","",Closed,1649075758467,"4/4/2022, 5:35:58 PM GMT+5",1652655600000,"5/16/2022, 4:00:00 AM GMT+5",,"",null,"[]","[Denis Kuznetcov]","[]",null,"General Sales tasks","","Sales","7200000","2 h ","{}","[]","0", "3600000",1 h ,3600000,1 h 
web04b,"Составить скрипт для телемаркетолога","\n",Closed,1629443554807,"8/20/2021, 12:12:34 PM GMT+5",,"",,"",null,"[]","[Tatiana Leontieva]","[]",null,"General Sales tasks","","Sales","","","{}","[]","0", "",,NaN,
23yt333,"ответить на запрос от ММДЦ «Москва-Сити»","Таня, Максим, посмотрите запрос.\nМожет нам будет интересно?\n\nЗдравствуйте!\nНахожусь в процессе выбора системы управления цифровыми медиэкранами.\nЗаинтересовал ваш продукт.\n \nЕсть определенные требования к системе:\nСервер управления находится внутри периметра\nПоддерживает основные форматы видео и картинок\nВозможность группировать экраны и привязывать к группам отдельные плей-листы\nФормирование плей-листов как линейно, так и по заданным условиям (открутка определенное количество раз в период, автофиллинг)\nВозможность запускать плей-листы по расписанию\nВозможность синхронизации показа плейлиста на группе экранов\nВозможность собирать группу из экранов разного формата и автоматически подставлять ролики соответствующего разрешения\nРабота с тегами\nСтатистика\nОткруток\nСостояния устройств\nМониторинг\nСостояние устройств\nУведомление о сбоях\nПлейер:\nПод Win10\nРабота с LCD 4K и LED экранами\nВозможность задать поле вывода - Full либо по заданным размерам и в определенном месте экрана\nСамопроверка работоспособности, автоматический перезапуск в случае прекращения работы\nВозможность автономной работы при недоступном сервере\nПоверх всех окон\nКакие правила лицензирования\n \nОборудование:\nЭкран Indoor 86"" 4K - 7 (в перспективе - 15)\nЭкран Outdoor LED - 5 (в перспективе - 50)\nПлейеры установлены на Intel NUC под Win10\n \nХотелось бы обсудить требования голосом и, если возможно, устроить демонстрацию работы системы.\n \n \nС уважением,\nЕремин Павел\nДиректор департамента ИТ\n\n \nПресненская наб. д. 6, стр. 2\nДеловой комплекс «Империя»,\nММДЦ «Москва-Сити» \n\nperemin@solversestate.ru\nО: +7 495 221 77 21 доб.260\nМ: +7 985 999 06 27\ncitymoscow.ru",Closed,1643210932897,"1/26/2022, 8:28:52 PM GMT+5",1643763600000,"2/2/2022, 6:00:00 AM GMT+5",,"",null,"[{""title"":""Запрос на систему управления цифровыми медиаэкранами.html"",""url"":""https://t4602024.p.clickup-attachments.com/t4602024/6eb981a9-d051-4b96-9a10-c4dac5ccec7d/%D0%97%D0%B0%D0%BF%D1%80%D0%BE%D1%81%20%D0%BD%D0%B0%20%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D1%83%20%D1%83%D0%BF%D1%80%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F%20%D1%86%D0%B8%D1%84%D1%80%D0%BE%D0%B2%D1%8B%D0%BC%D0%B8%20%D0%BC%D0%B5%D0%B4%D0%B8%D0%B0%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0%D0%BC%D0%B8.html""}]","[Tatiana Leontieva,Maxim Stryapunin]","[]",null,"General Sales tasks","","Sales","","","{}","[{""text"":""@Maxim задачу уже можно закрыть ?\n"",""by"":""evgeniya.lukich@tangovision.ru"",""assigned"":false,""date"":""2/4/2022, 12:00:09 AM GMT+5"",""resolved"":""N/A""},{""text"":""Денис, добавь Максима в эту папку, please \n"",""by"":""evgeniya.lukich@tangovision.ru"",""assigned"":""79122255855a@gmail.com"",""date"":""1/26/2022, 8:31:52 PM GMT+5"",""resolved"":true}]","0", "",,NaN,
1fu8bxm,"демо для университетов (на карте ГУАП)","демонстрацию карты ГУАП с построением маршрута до аудитории\nописание функционала, важного именно для университетов - возможность интеграции с расписанием и бронирование аудиторий, система допуска в аудитории\n",Closed,1632984182048,"9/30/2021, 11:43:02 AM GMT+5",,"",,"",1jtgnf9,"[]","[]","[]",null,"General Sales tasks","","Sales","","","{}","[]","0", "",,NaN,
1jtgnf9,"Записать видео демо с комментами","\n\n",Closed,1632725719129,"9/27/2021, 11:55:19 AM GMT+5",,"",,"",null,"[]","[Tatiana Leontieva]","[]",null,"General Sales tasks","","Sales","","","{}","[]","0", "",,NaN,
2f7b67y,"Подготовить отчёт по результатам успех/ отказ обзвона ТЦ и перспективам охвата ЦКГ (целевой клиентской группы)","Решение совещания 16.05.22",Closed,1652855360804,"5/18/2022, 11:29:20 AM GMT+5",1653260400000,"5/23/2022, 4:00:00 AM GMT+5",,"",null,"[{""title"":""Справка о перспективах поставки ПО на 2022 год.docx"",""url"":""https://t4602024.p.clickup-attachments.com/t4602024/38a75753-5b91-481a-a2fb-7354a50c50e5/%D0%A1%D0%BF%D1%80%D0%B0%D0%B2%D0%BA%D0%B0%20%D0%BE%20%D0%BF%D0%B5%D1%80%D1%81%D0%BF%D0%B5%D0%BA%D1%82%D0%B8%D0%B2%D0%B0%D1%85%20%D0%BF%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8%20%D0%9F%D0%9E%20%D0%BD%D0%B0%202022%20%D0%B3%D0%BE%D0%B4.docx""}]","[Tatiana Leontieva]","[]",3,"General Sales tasks","","Sales","","","{}","[{""text"":""\nСправка о перспективах поставки ПО на 2022 год.docx\n\n"",""by"":""maxim.stryapunin@tango.vision"",""assigned"":false,""date"":""5/30/2022, 11:48:33 AM GMT+5"",""resolved"":""N/A""}]","0", "",,NaN,
1fu8d3c,"демо для ТЦ","null",Closed,1632984632955,"9/30/2021, 11:50:32 AM GMT+5",,"",,"",1jtgnf9,"[]","[]","[]",null,"General Sales tasks","","Sales","","","{}","[]","0", "",,NaN,
33z5f0n,"Подготовка к презентации по итогам года для Sales","",Closed,1669018162735,"11/21/2022, 1:09:22 PM GMT+5",1669078800000,"11/22/2022, 6:00:00 AM GMT+5",1668992400000,"11/21/2022, 6:00:00 AM GMT+5",null,"[{""title"":""Безымянный.png"",""url"":""https://t4602024.p.clickup-attachments.com/t4602024/a66dbdf8-f546-4548-9705-d8b8fa83b175/%D0%91%D0%B5%D0%B7%D1%8B%D0%BC%D1%8F%D0%BD%D0%BD%D1%8B%D0%B9.png""}]","[]","[]",null,"General Sales tasks","","Sales","","","{""Checklist"":[""занесение информации в CRM Кликапп"",""выгрузка данных из CRM в Excel"",""систематизация данных в Excel"",""обсуждение данных"",""формирование презентации""]}","[{""text"":""в какой вид привести свои данные в таблице?\n"",""by"":""maya.goman@tango.vision"",""assigned"":false,""date"":""11/21/2022, 9:26:11 PM GMT+5"",""resolved"":""N/A""},{""text"":""Безымянный.png\n@Pavel Shershniov на текущий момент необходимо выгрузить данные в Excel из CRM Russia, папку для выгрузки указана на картинке\n"",""by"":""maxim.stryapunin@tango.vision"",""assigned"":""pavel@tango.vision"",""date"":""11/21/2022, 1:24:40 PM GMT+5"",""resolved"":true}]","0", "7306992",2 h 2 m,7306992,2 h 2 m
861mhxg37,"Узнать про другие объекты ADG для навигации","",Closed,1679476613658,"3/22/2023, 2:16:53 PM GMT+5",1680591600000,"4/4/2023, 12:00:00 PM GMT+5",,"",861mhxg34,"[]","[]","[]",null,"General Sales tasks","","Sales","","","{}","[]","0", "",,NaN,
