Task ID, Task Name,Task Content,Status,Date Created,Date Created Text,Due Date,Due Date Text,Start Date,Start Date Text,Parent ID,Attachments,Assignees,Tags,Priority,List Name,Folder Name/Path,Space Name,Time Estimated,Time Estimated Text,Checklists,Comments,Assigned Comments,Time Spent,Time Spent Text,Rolled Up Time,Rolled Up Time Text
32hbxxa,"Защититься на  GRREAt-2022","https://us06web.zoom.us/j/83368639812?pwd=cUx3d21MdHg2V083Z0dEeFo3OFVWZz09",Closed,1666971780846,"10/28/2022, 8:43:00 PM GMT+5",1667987100000,"11/9/2022, 2:45:00 PM GMT+5",1667983500000,"11/9/2022, 1:45:00 PM GMT+5",null,"[]","[Paul Hornet]","[]",null,"Competitions","","BizDev & PR","1800000","30 m","{}","[]","0", "",,NaN,
32hbxzn,"Подготовить презентацию","null",Closed,1666971843435,"10/28/2022, 8:44:03 PM GMT+5",1667871000000,"11/8/2022, 6:30:00 AM GMT+5",1667871000000,"11/8/2022, 6:30:00 AM GMT+5",32hbxxa,"[]","[Paul Hornet]","[]",null,"Competitions","","BizDev & PR","14400000","4 h ","{}","[]","0", "19394855",5 h 23 m,19394855,5 h 23 m
31eu9gk,"SBK - Арена Форум","http://forumarena.ru/",Closed,1665666445465,"10/13/2022, 6:07:25 PM GMT+5",1666364400000,"10/21/2022, 8:00:00 PM GMT+5",1666249200000,"10/20/2022, 12:00:00 PM GMT+5",null,"[]","[Paul Hornet]","[]",null,"Exhibitions","","BizDev & PR","","","{}","[]","0", "",,NaN,
31eudhd,"Day 1","null",Closed,1665668076631,"10/13/2022, 6:34:36 PM GMT+5",1666288800000,"10/20/2022, 11:00:00 PM GMT+5",1666249200000,"10/20/2022, 12:00:00 PM GMT+5",31eu9gk,"[]","[Paul Hornet]","[]",null,"Exhibitions","","BizDev & PR","","","{}","[]","0", "57600000",16 h ,57600000,16 h 
8692zmrgc,"Smart City Indo с 06.03.2024 по 08.03.2024","Международная специализированная выставка решений и технологий в сфере создания умных домов, умных офисов и умных городов. Экспозиция охватывает инновационные разработки для систем управления домами и офисными зданиями, городской инфраструктурой, системами связи и энергоснабжения, включая технологии IoT, big data, облачные системы, видеонаблюдение, биометрию, и т.д.\n\n\nhttps://myexport.exportcenter.ru/events/smart_home_city_indonesia_2024_06032024_08032024",Closed,1698134473514,"10/24/2023, 1:01:13 PM GMT+5",1698973200000,"11/3/2023, 6:00:00 AM GMT+5",1698627600000,"10/30/2023, 6:00:00 AM GMT+5",null,"[]","[Paul Hornet]","[]",3,"Exhibitions","","BizDev & PR","","","{}","[]","0", "",,NaN,
86955p979,"Н2.. К\n","Привет",Open,1721574834840,"7/21/2024, 8:13:54 PM GMT+5",,"",,"",null,"[]","[Paul Hornet]","[]",null,"PR Plan Russia","","BizDev & PR","","","{}","[]","0", "",,NaN,
2p6dhkj,"Подать заявку в Build Up","null",Closed,1657038746107,"7/5/2022, 9:32:26 PM GMT+5",,"",,"",null,"[]","[]","[]",null,"Accelerators","","BizDev & PR","","","{}","[]","0", "",,NaN,
2kaygwe,"Подать заявку на экспортный грант 20млн. в FASIE.ru до 1 июля!","Сайт конкурса - https://fasie.ru/press/fund/export-dt/\n\nВся информация про проекту должна храниться тут\nhttps://drive.google.com/drive/u/0/folders/1TpUqNGYtn-BoJFYKPSCa3vet9mA233Se\n\nПоложение о конкурсе\n\nПо вопросам, связанным с подачей заявок, обращайтесь в консультационную поддержку по телефону +7 (495) 231-19-06 доб.124 и 142, или по e-mail: info@fasie.ru.\n\nВ случае технических проблем просим обращаться в службу технической поддержки: support@fasie.ru, тел.: +7 (495) 231-19-06 доб. 196 (с 9:00 до 13:00 и с 14:00 до 18:00 в рабочие дни, время московское).",Closed,1654809570275,"6/10/2022, 2:19:30 AM GMT+5",,"",,"",null,"[{""title"":""Положение Экспорт-ЦТ_на сайт.pdf"",""url"":""https://t4602024.p.clickup-attachments.com/t4602024/1b88e8cb-1dd0-4c46-aaf7-bd6e819bc535/%D0%9F%D0%BE%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5%20%D0%AD%D0%BA%D1%81%D0%BF%D0%BE%D1%80%D1%82-%D0%A6%D0%A2_%D0%BD%D0%B0%20%D1%81%D0%B0%D0%B8%CC%86%D1%82.pdf""}]","[]","[]",null,"Accelerators","","BizDev & PR","","","{}","[{""text"":""@Pavel Shershniov @Boris Sedov \nДля участия в конкурсе необходима регистрация исключительных прав на результаты интеллектуальной деятельности в Роспатенте. \nПока регистрации нет, можно подать заявку на программу \""Старт-ЦТ-1\""\n"",""by"":""maxim.tokarevskikh@tango.vision"",""assigned"":false,""date"":""6/27/2022, 2:05:46 PM GMT+5"",""resolved"":""N/A""}]","0", "11738415",3 h 16 m,176076225,48 h 55 m
cuwazg,"PWC","https://pwc.vcv.ru/r/venture-hub\n\nPwC Venture Hub предлагает технологическим компаниям разных стадий участие в программе открытых инноваций, которая проводится в сотрудничестве с венчурным фондом YellowRockets.vc. Программа дает участникам возможность построить взаимовыгодные партнерские отношения с PwC, а также получить доступ к клиентам и экспертизе одного из мировых лидеров рынка консалтинга и аудита.\n\nУсловия участия в программе по ссылке: https://www.pwc.ru/ru/services/pwc-russia-accelerator.html\nПриём заявок: до 25 февраля 2021г. 23:00 МСК.\n\n",Closed,1611136398140,"1/20/2021, 2:53:18 PM GMT+5",,"",,"",null,"[]","[]","[]",null,"Accelerators","","BizDev & PR","","","{}","[]","0", "",,NaN,
fgg96w,"Visa","https://promotions.visa.com/campaign/visa_everywhere_initiative_ru/\n",Closed,1554826400000,"4/9/2019, 9:13:20 PM GMT+5",,"",,"",null,"[]","[]","[]",3,"Accelerators","","BizDev & PR","","","{}","[]","0", "",,NaN,
